Year,Homocides
1990,1.24871696
1991,1.281490995
1992,1.512583421
1993,1.536397544
1994,1.590973326
1995,1.553533469
1996,1.445445928
1997,1.483518707
1998,1.574090652
1999,1.56686799
2000,1.552866052
2001,1.633846618
2002,1.865951714
2003,1.55469742
2004,1.586698191
2005,1.383360951
2006,1.413977188
2007,1.420548063
2008,1.226162681
2009,1.123691719
2010,1.191305343
2011,1.001219551
2012,0.971711871
2013,0.927920505
2014,0.900294343
2015,0.989976503
2016,1.190082154
2017,1.212394363
2018,1.124487833