IMF Credit Outstanding  for all members from 1984 - 2022,,,,,
(in SDRs),,,,,
,,,,,
Date,GRA Purchases,PRGT 1/2/,Totals,World GDP (Current USD),IMF lending as a percentage of global GDP
09/30/2022,"91,088,136,681","15,386,591,496","106,474,728,177",,
12/31/2021,"89,474,552,025","14,554,823,681","104,029,375,706",96100091004540.90,0.122521821951935
12/31/2020,"93,408,630,285","12,481,816,684","105,890,446,969",84906814189239.50,0.120806603553915
12/31/2019,"66,945,509,865","6,590,835,450","73,536,345,315",87652863215992.60,0.085098674297218
12/31/2018,"55,395,611,392","6,426,181,029","61,821,792,421",86413032779059.90,0.075944437083684
12/31/2017,"39,585,385,873","6,522,280,669","46,107,666,542",81403977427442.50,0.060298582066701
12/31/2016,"49,267,630,851","6,482,647,937","55,750,278,788",76465590005079.00,0.074156455035306
12/31/2015,"50,757,840,741","6,575,911,158","57,333,751,899",75179266270828.20,0.071929000428947
12/31/2014,"69,041,563,463","6,292,755,583","75,334,319,046",79708812241364.70,0.097071303346781
12/31/2013,"83,899,249,061","6,174,392,682","90,073,641,743",77607198470255.70,0.119321700360348
12/31/2012,"90,042,348,252","5,766,292,503","95,808,640,755",75488064175234.30,0.129727463517780
12/31/2011,"87,276,915,790","5,308,609,594","92,585,525,384",73853784046173.90,0.139025548774289
12/31/2010,"55,620,104,510","4,819,344,134","60,439,448,644",66596051013842.60,0.099392092448069
12/31/2009,"37,221,142,436","5,079,705,286","42,300,847,722",60809111827058.90,0.065967567222481
12/31/2008,"17,514,964,723","3,972,372,030","21,487,336,753",64123704273248.60,0.036821748258005
12/31/2007,"6,036,146,757","3,796,945,581","9,833,092,338",58355015091735.70,0.018990192469413
12/31/2006,"9,822,640,239","3,844,020,520","13,666,660,759",51779845590495.90,0.028603479149634
12/31/2005,"28,432,143,237","6,282,121,668","34,714,264,905",47779714794501.40,0.078685749038793
12/31/2004,"55,373,766,674","6,766,029,353","62,139,796,027",44117601127347.20,0.158734550433862
12/31/2003,"65,032,062,712","6,880,893,268","71,912,955,980",39146988388574.70,0.205986870363997
12/31/2002,"63,601,058,794","6,868,671,012","70,469,729,806",34911427050143.30,0.209635031583788
12/31/2001,"53,477,225,409","6,424,578,684","59,901,804,093",33615435966786.10,0.177062512763468
12/31/2000,"42,990,531,049","6,331,595,468","49,322,126,517",33830878799862.60,0.150659992025021
12/31/1999,"51,061,861,875","6,434,274,362","57,496,136,237",32737374968670.30,0.182296173052440
12/31/1998,"60,451,017,051","6,288,825,925","66,739,842,976",31539957901617.90,0.211065485633584
12/31/1997,"46,559,033,783","6,009,867,422","52,568,901,205",31620443662618.80,0.165640937393440
12/31/1996,"36,127,472,805","5,881,609,752","42,009,082,557",31736660050489.40,0.135322635794871
12/31/1995,"35,929,173,412","5,657,438,528","41,586,611,940",31043647879191.00,0.149204331484667
12/31/1994,"25,611,676,952","4,599,768,498","30,211,445,450",27872255132401.30,0.116998954803583
12/31/1993,"25,196,745,031","3,942,792,899","29,139,537,930",25821978923417.60,0.114695017835702
12/31/1992,"23,967,172,718","3,804,463,796","27,771,636,514",25406106106319.10,0.116886095374557
12/31/1991,"23,378,573,926","3,285,717,796","26,664,291,722",23759572449577.40,0.117051434037427
12/31/1990,"20,731,851,093","2,571,911,617","23,303,762,710",22779978683109.70,0.115399417255873
12/31/1989,"22,315,104,224","2,334,886,562","24,649,990,786",20194003803614.60,0.127469200593957
12/31/1988,"24,750,004,884","1,773,964,293","26,523,969,177",19337997470087.40,0.153253622388211
12/31/1987,"28,751,979,125","1,866,342,930","30,618,322,055",17307238004339.90,0.201365910442459
12/31/1986,"33,334,905,644","2,013,169,931","35,348,075,575",15205315531175.40,0.274866375815495
12/31/1985,"35,194,787,249","2,470,247,948","37,665,035,197",12860094462309.70,0.306973696666346
12/31/1984,"34,936,772,393","2,769,874,900","37,706,647,293",12269792365284.90,0.307312839292082
,,,,,
,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,
,,,,,
 2/ Formerly PRGF-ESF.,,,,,